date,symbol,open,high,low,close,Volume.USD,Volume.BTC
2015-02-09,BTC/USD,224.22,225,215.4,220.61,6493501.42,29625.03
2015-02-10,BTC/USD,220.61,223.88,214,220.96,6402350.57,29268.95
2015-02-11,BTC/USD,220.96,224.4,218.1,219.19,4268986.79,19289.28
2015-02-12,BTC/USD,219.19,223.2,217.87,222.6,2468883.37,11190.65
2015-02-13,BTC/USD,222.39,241.76,221.46,236,6806972.89,29079.11
2015-02-14,BTC/USD,236.13,261.3,235.51,258.12,10739014.48,42984.94
2015-02-15,BTC/USD,257,266.84,228.2,234.14,17384420.7,71361.28
2015-02-16,BTC/USD,234.14,243.65,228.62,236.78,10798751.12,45750.85
2015-02-17,BTC/USD,236.78,246.28,231.5,242.87,10228035.45,42669.08
2015-02-18,BTC/USD,242.87,244.99,231.01,234.8,9164141.83,38588.38
2015-02-19,BTC/USD,234.8,243.42,234.62,241.9,5446200.04,22792.55
2015-02-20,BTC/USD,241.9,248.98,238.95,245.53,8136342.67,33337.97
2015-02-21,BTC/USD,245.53,247.73,243.28,245.1,4052466.26,16514.04
2015-02-22,BTC/USD,245.1,247.78,232.1,236.59,7971863.56,33394.5
2015-02-23,BTC/USD,236.59,241,232.61,239.73,5666261.84,23893.09
2015-02-24,BTC/USD,239.73,240.99,236.7,239.68,4013461.44,16784.31
2015-02-25,BTC/USD,239.68,240.83,235.53,238,3230232.16,13574.5
2015-02-26,BTC/USD,238,238.34,233.62,237,4418655.89,18691.43
2015-02-27,BTC/USD,237,262.8,236.64,256.4,17536633.13,69269.58
2015-02-28,BTC/USD,255.05,257.33,251.25,255.77,2721373.29,10695.34
2015-03-01,BTC/USD,255.7,265,245.65,261.15,6156716.71,24361.06
2015-03-02,BTC/USD,262.47,276,259.6,275.99,9448438.14,35351.14
2015-03-03,BTC/USD,277.3,294,267.04,283.2,21157890.72,75940.04
2015-03-04,BTC/USD,283.2,285.99,267,273.74,19833718.19,71328.67
2015-03-05,BTC/USD,273.74,284.99,262,278.51,18281541.95,67235.69
2015-03-06,BTC/USD,278.51,279.75,268.8,273.89,11083898.02,40490.63
2015-03-07,BTC/USD,273.89,280.76,270.55,275.95,6096102.1,22095.92
2015-03-08,BTC/USD,275.95,278.68,271.61,275.23,4059996.89,14729.83
2015-03-09,BTC/USD,275.23,295,275.01,291.2,17935918.08,62709.27
2015-03-10,BTC/USD,291.2,303.96,289.03,292.62,19689801.8,66533.18
2015-03-11,BTC/USD,292.62,298.75,290.8,296.33,7898592.99,26799.48
2015-03-12,BTC/USD,296.33,298.8,291.04,295.65,8044592.43,27237.56
2015-03-13,BTC/USD,295.65,295.91,285,287.9,12368444.8,42613.88
2015-03-14,BTC/USD,287.9,287.91,281.36,283,7697730.93,27077.04
2015-03-15,BTC/USD,283,287.8,281.59,286.12,3846739.5,13491.22
2015-03-16,BTC/USD,286.12,295.2,286.12,291.1,6538607.02,22427.27
2015-03-17,BTC/USD,291.1,292.9,281.56,285,6363650.41,22077.69
2015-03-18,BTC/USD,285,285.5,248,257.49,23520537.51,87951
2015-03-19,BTC/USD,257.49,269.5,246.98,262.05,20177686.14,78178.66
2015-03-20,BTC/USD,262.05,267,259.36,262.66,4328441.8,16500.89
2015-03-21,BTC/USD,262.66,263.01,255.1,260.37,3932500.29,15163.43
2015-03-22,BTC/USD,260.37,270.8,259.74,269.33,4748216.13,17916
2015-03-23,BTC/USD,269.33,271.5,262,266.78,6374502.51,23864.89
2015-03-24,BTC/USD,266.78,268.4,241.39,247.3,15720801.73,62637.82
2015-03-25,BTC/USD,247.3,250.95,235.7,246.15,13349382.19,54741.19
2015-03-26,BTC/USD,246.15,255,244.5,249.8,8289565.28,33117.57
2015-03-27,BTC/USD,249.8,250.45,245.23,247.5,5494965.57,22184.43
2015-03-28,BTC/USD,247.5,255.96,246.12,253.05,4593944.06,18235.55
2015-03-29,BTC/USD,253.05,253.05,238.89,242.23,7781423.43,31797.94
2015-03-30,BTC/USD,242.23,250.98,236.24,247.9,7491359.46,30546.36
2015-03-31,BTC/USD,247.9,248.8,242,244.42,5538544.5,22592.89
2015-04-01,BTC/USD,244.42,247.89,239.21,246.43,5216062.22,21379.93
2015-04-02,BTC/USD,246.43,254.94,243,253.11,5935950.99,23794.07
2015-04-03,BTC/USD,253.11,256.49,250.31,254.12,7206777.03,28441.25
2015-04-04,BTC/USD,254.12,255.7,250.32,253.9,2351734.92,9307.17
2015-04-05,BTC/USD,253.9,261.25,251.55,260.53,6198045.49,24071.39
2015-04-06,BTC/USD,260.53,262.45,253.4,255.81,5296679.24,20575.47
2015-04-07,BTC/USD,255.81,257.9,253.01,254.92,2724103.24,10671.27
2015-04-08,BTC/USD,254.92,254.99,242.72,244.96,9807179.38,39630.95
2015-04-09,BTC/USD,244.96,246.79,236.5,242.65,5493893.77,22658.3
2015-04-10,BTC/USD,242.65,243.87,230.75,234.99,8779200.94,37202.32
2015-04-11,BTC/USD,234.99,240.58,233.72,237.38,4212454.68,17768.04
2015-04-12,BTC/USD,237.38,238.7,232.38,236.67,2404156.47,10172.05
2015-04-13,BTC/USD,236.67,237.7,220.14,225.49,10605496.24,46724.93
2015-04-14,BTC/USD,225.49,225.93,216.37,218.71,9072017.43,41148.33
2015-04-15,BTC/USD,218.71,224.75,218.71,222.92,5195993.12,23442.21
2015-04-16,BTC/USD,222.92,230,222.84,228.3,6717348.59,29581.76
2015-04-17,BTC/USD,228.3,228.98,219.58,222.42,6051099.42,27070
2015-04-18,BTC/USD,222.42,224.16,219.94,222.97,2623795.09,11785.5
2015-04-19,BTC/USD,222.97,227,222.1,223.22,3965289.9,17660.83
2015-04-20,BTC/USD,223.22,227,221.24,224.21,4484304.64,19973.12
2015-04-21,BTC/USD,224.21,236.5,224.1,234.37,6892018.26,29961.31
2015-04-22,BTC/USD,234.37,238.99,232,234.53,5617505.96,23827.36
2015-04-23,BTC/USD,234.53,235.76,233,235.25,1835916.77,7823.74
2015-04-24,BTC/USD,235.25,237.22,228.7,231.73,5505129.65,23673.65
2015-04-25,BTC/USD,231.73,232.7,225.35,226.02,3011012.08,13177.38
2015-04-26,BTC/USD,226.02,226.84,213.92,219.39,9033043.42,41157.48
2015-04-27,BTC/USD,219.39,232.49,218.24,227.41,7805497.05,34855.3
2015-04-28,BTC/USD,227.41,228.28,222.16,225.25,3954137.75,17572.04
2015-04-29,BTC/USD,225.25,227.8,222.66,225.34,2687371.88,11932.43
2015-04-30,BTC/USD,225.34,240.89,224.63,235.64,9697487.46,41431.76
2015-05-01,BTC/USD,235.64,239.25,231.26,232.8,3780970.84,16071.25
2015-05-02,BTC/USD,232.8,235.79,231.31,235.07,2192424.93,9367.6
2015-05-03,BTC/USD,235.07,243.73,233.75,240.34,4587767.58,19106.42
2015-05-04,BTC/USD,240.34,243.6,236.98,239.01,5942074.73,24777.49
2015-05-05,BTC/USD,239.01,239.49,231.05,235.46,6097569.04,25961.79
2015-05-06,BTC/USD,235.46,236.75,226.42,229.74,10954983.7,47349.28
2015-05-07,BTC/USD,229.74,239.79,227.81,237.52,6301218.65,26878.77
2015-05-08,BTC/USD,237.52,249.22,235.66,244.75,7727308.38,31722.59
2015-05-09,BTC/USD,244.75,249.21,240.1,242.55,4725248.25,19368.92
2015-05-10,BTC/USD,242.55,245.95,238.79,240.58,2869134.78,11858.21
2015-05-11,BTC/USD,240.58,245.49,238.5,242.85,3800696.06,15688.2
2015-05-12,BTC/USD,242.85,244.67,240.86,242.46,3177594.62,13120.58
2015-05-13,BTC/USD,242.46,245,234.22,236.4,6776979.42,28252.17
2015-05-14,BTC/USD,236.4,238.39,232.1,236.63,4643708.28,19670.32
2015-05-15,BTC/USD,236.63,239,233.88,237.11,2271369.9,9576
2015-05-16,BTC/USD,237.11,237.58,234,235.71,1422779.3,6025.86
2015-05-17,BTC/USD,235.71,238.24,235.6,236.49,1150863.49,4861.62
2015-05-18,BTC/USD,236.49,237.25,229,232,3286691,14048.52
2015-05-19,BTC/USD,232,236.76,231.19,231.76,1417681.02,6090.08
2015-05-20,BTC/USD,231.76,235.24,231.26,233.85,2671752.01,11423.86
2015-05-21,BTC/USD,233.85,236.5,233.85,235.2,2486289.06,10562.21
2015-05-22,BTC/USD,235.2,241.83,234.59,240.92,5299519.14,22276.5
2015-05-23,BTC/USD,240.92,241.82,237.54,238.8,2168898.61,9043.62
2015-05-24,BTC/USD,238.8,242.98,238.52,241.01,1740186.7,7220.39
2015-05-25,BTC/USD,241.01,241.12,236.1,236.9,2043440.91,8572.3
2015-05-26,BTC/USD,236.9,238.5,235.26,237.4,2093218.42,8820.64
2015-05-27,BTC/USD,237.4,239.3,235,236.73,2122389.91,8944.34
2015-05-28,BTC/USD,236.73,237.5,235.85,236.82,1426119.1,6024.08
2015-05-29,BTC/USD,236.82,237.16,235.02,236.45,1618056.66,6848.67
2015-05-30,BTC/USD,236.45,236.81,228.2,232.3,3366947.9,14475.33
2015-05-31,BTC/USD,232.3,232.99,227,228.59,2676639.56,11634.78
2015-06-01,BTC/USD,228.59,230.89,219.71,221.97,7175381.61,31986.22
2015-06-02,BTC/USD,221.97,226,220.97,224.31,3694507.67,16516.22
2015-06-03,BTC/USD,224.31,227,222.26,225.34,3817598.47,16972.54
2015-06-04,BTC/USD,225.34,225.77,222.64,223.17,2463291.81,10967.86
2015-06-05,BTC/USD,223.17,229.23,222.65,224.44,4021547.46,17898.58
2015-06-06,BTC/USD,224.44,226.37,223.9,224.68,1246754.84,5544.68
2015-06-07,BTC/USD,224.68,228,222.29,223.45,4147859.6,18472.36
2015-06-08,BTC/USD,223.45,230.63,223.25,228.5,6570924.91,28938.66
2015-06-09,BTC/USD,228.5,232.07,227.79,229.52,3725315.85,16167.06
2015-06-10,BTC/USD,229.52,229.97,227.48,228.74,2505202.24,10947.06
2015-06-11,BTC/USD,228.74,230.7,228.6,229.69,2160876.76,9405.68
2015-06-12,BTC/USD,229.69,231.34,229.11,229.82,2220804.49,9642.67
2015-06-13,BTC/USD,229.82,234.3,228.4,232.72,2615105.12,11318.33
2015-06-14,BTC/USD,232.72,235.44,232.51,233.58,1936118.7,8276.26
2015-06-15,BTC/USD,233.58,238.16,233.31,237.18,4515998.59,19113.51
