Time,
2011-09-12 00:00:00 UTC,581.8068486786
2011-09-19 00:00:00 UTC,1640.47704275285
2011-09-26 00:00:00 UTC,982.307395035036
2011-10-03 00:00:00 UTC,3016.48746392791
2011-10-10 00:00:00 UTC,2024.158126008
2011-10-17 00:00:00 UTC,272.6521052185
2011-10-24 00:00:00 UTC,2477.06190667623
2011-10-31 00:00:00 UTC,1668.4567687271
2011-11-07 00:00:00 UTC,1046.6307932202
2011-11-14 00:00:00 UTC,1200.73600416931
2011-11-21 00:00:00 UTC,2144.10217657854
2011-11-28 00:00:00 UTC,1924.22424069957
2011-12-05 00:00:00 UTC,2923.5121317947
2011-12-12 00:00:00 UTC,1506.43213622012
2011-12-19 00:00:00 UTC,1921.301151145
2011-12-26 00:00:00 UTC,1577.04007279532
2012-01-02 00:00:00 UTC,1970.39335700699
2012-01-09 00:00:00 UTC,2767.23731840571
2012-01-16 00:00:00 UTC,4637.21791063469
2012-01-23 00:00:00 UTC,2430.80586834028
2012-01-30 00:00:00 UTC,4003.99518241547
2012-02-06 00:00:00 UTC,3479.40620940161
2012-02-13 00:00:00 UTC,4776.25606004581
2012-02-20 00:00:00 UTC,7888.40552709393
2012-02-27 00:00:00 UTC,8730.92696313159
2012-03-05 00:00:00 UTC,9638.27363499851
2012-03-12 00:00:00 UTC,17529.3214579838
2012-03-19 00:00:00 UTC,8278.44204542967
2012-03-26 00:00:00 UTC,7669.14359705143
2012-04-02 00:00:00 UTC,14594.5748253203
2012-04-09 00:00:00 UTC,16694.3489093152
2012-04-16 00:00:00 UTC,15232.3053597333
2012-04-23 00:00:00 UTC,31887.7722579661
2012-04-30 00:00:00 UTC,24676.2187325711
2012-05-07 00:00:00 UTC,18999.1341507292
2012-05-14 00:00:00 UTC,16079.7759445525
2012-05-21 00:00:00 UTC,20639.9036667504
2012-05-28 00:00:00 UTC,20749.56021892
2012-06-04 00:00:00 UTC,35181.5313452433
2012-06-11 00:00:00 UTC,108040.436790277
2012-06-18 00:00:00 UTC,58464.201768682
2012-06-25 00:00:00 UTC,187665.001361397
2012-07-02 00:00:00 UTC,72605.8894701278
2012-07-09 00:00:00 UTC,61434.3186276725
2012-07-16 00:00:00 UTC,148230.21774937
2012-07-23 00:00:00 UTC,80494.7833120127
2012-07-30 00:00:00 UTC,129959.560438796
2012-08-06 00:00:00 UTC,132583.952997016
2012-08-13 00:00:00 UTC,251841.523700033
2012-08-20 00:00:00 UTC,239430.784138362
2012-08-27 00:00:00 UTC,197729.453026704
2012-09-03 00:00:00 UTC,137635.867283852
2012-09-10 00:00:00 UTC,175689.852367376
2012-09-17 00:00:00 UTC,124406.295041027
2012-09-24 00:00:00 UTC,174521.400702845
2012-10-01 00:00:00 UTC,327047.837622628
2012-10-08 00:00:00 UTC,129903.186445444
2012-10-15 00:00:00 UTC,252200.26962895
2012-10-22 00:00:00 UTC,178161.19774719
2012-10-29 00:00:00 UTC,174107.689488172
2012-11-05 00:00:00 UTC,212309.931710135
2012-11-12 00:00:00 UTC,181829.13808815
2012-11-19 00:00:00 UTC,291125.278556088
2012-11-26 00:00:00 UTC,292263.42797282
2012-12-03 00:00:00 UTC,304658.814859106
2012-12-10 00:00:00 UTC,361464.70387548
2012-12-17 00:00:00 UTC,281812.523321523
2012-12-24 00:00:00 UTC,180056.09656353
2012-12-31 00:00:00 UTC,177441.201169063
2013-01-07 00:00:00 UTC,333124.989383083
2013-01-14 00:00:00 UTC,444144.668044867
2013-01-21 00:00:00 UTC,686112.818532084
2013-01-28 00:00:00 UTC,563962.344356148
2013-02-04 00:00:00 UTC,525047.236904809
2013-02-11 00:00:00 UTC,926895.096966987
2013-02-18 00:00:00 UTC,920305.175547537
2013-02-25 00:00:00 UTC,762191.80997763
2013-03-04 00:00:00 UTC,2019519.98238902
2013-03-11 00:00:00 UTC,1113026.16224438
2013-03-18 00:00:00 UTC,3466969.12323036
2013-03-25 00:00:00 UTC,3507065.58565732
2013-04-01 00:00:00 UTC,6720301.48299159
2013-04-08 00:00:00 UTC,14775534.7461625
2013-04-15 00:00:00 UTC,14043685.5006208
2013-04-22 00:00:00 UTC,10726686.7217347
2013-04-29 00:00:00 UTC,12751293.4728576
2013-05-06 00:00:00 UTC,7441607.47637146
2013-05-13 00:00:00 UTC,5928149.60002027
2013-05-20 00:00:00 UTC,5898367.09374971
2013-05-27 00:00:00 UTC,6966609.1693817
2013-06-03 00:00:00 UTC,8311702.47199559
2013-06-10 00:00:00 UTC,5391026.27783818
2013-06-17 00:00:00 UTC,4912391.54172162
2013-06-24 00:00:00 UTC,4604482.49559827
2013-07-01 00:00:00 UTC,10230224.7489437
2013-07-08 00:00:00 UTC,10145254.2775559
2013-07-15 00:00:00 UTC,5817665.34586937
2013-07-22 00:00:00 UTC,5042820.87856429
2013-07-29 00:00:00 UTC,6636596.42023697
