,bands_excl,bands_incl
-1.0,3023,3023
-0.99,10671,10671
-0.98,15396,15396
-0.97,28526,28526
-0.96,37910,37910
-0.95,49178,49178
-0.94,49080,49080
-0.9299999999999999,61775,61775
-0.92,75415,75415
-0.91,95128,95128
-0.9,86789,86789
-0.89,96870,96870
-0.88,127375,127375
-0.87,104468,104468
-0.86,126819,126819
-0.85,129047,129047
-0.84,168370,168370
-0.83,193242,193242
-0.8200000000000001,182871,182871
-0.81,160529,160529
-0.8,222517,222517
-0.79,135450,135450
-0.78,423106,423106
-0.77,136503,136503
-0.76,250672,250672
-0.75,197024,197024
-0.74,387151,387151
-0.73,233589,233589
-0.72,200014,200014
-0.71,242347,242347
-0.7,297059,297059
-0.69,226104,226104
-0.6799999999999999,280507,280507
-0.6699999999999999,255172,255172
-0.6599999999999999,288325,288325
-0.6499999999999999,456271,456271
-0.64,284060,284060
-0.63,103427,103427
-0.62,365002,365002
-0.61,284718,284718
-0.6,641051,641051
-0.59,514489,514489
-0.5800000000000001,134140,134140
-0.5700000000000001,534018,534018
-0.56,660642,660642
-0.55,109607,109607
-0.54,605422,605422
-0.53,634913,634913
-0.52,126966,126966
-0.51,600862,600862
-0.5,116417,116417
-0.49,629512,629512
-0.48,897171,897171
-0.47,105513,105513
-0.45999999999999996,633475,633475
-0.44999999999999996,150954,150954
-0.43999999999999995,805656,805656
-0.42999999999999994,191098,191098
-0.42000000000000004,680747,680747
-0.41000000000000003,87958,87958
-0.4,1123960,1123960
-0.39,144617,144617
-0.38,788073,788073
-0.37,110823,110823
-0.36,895415,895415
-0.35,98581,98581
-0.33999999999999997,1414743,1414743
-0.32999999999999996,143802,143802
-0.31999999999999995,803478,803478
-0.30999999999999994,119742,119742
-0.29999999999999993,2193805,2193805
-0.29000000000000004,149585,149585
-0.28,150366,150366
-0.27,1443851,1443851
-0.26,123564,123564
-0.25,481004,481004
-0.24,117673,117673
-0.22999999999999998,710362,710362
-0.21999999999999997,127021,127021
-0.20999999999999996,89537,89537
-0.19999999999999996,738797,738797
-0.18999999999999995,110936,110936
-0.17999999999999994,522798,522798
-0.16999999999999993,104640,104640
-0.16000000000000003,46507,46507
-0.15000000000000002,732902,732902
-0.14,73461,73461
-0.13,633067,633067
-0.12,72411,72411
-0.10999999999999999,54809,54809
-0.09999999999999998,975133,975133
-0.08999999999999997,59038,59038
-0.07999999999999996,455138,455138
-0.06999999999999995,31180,31180
-0.05999999999999994,82583,82583
-0.04999999999999993,538108,538108
-0.040000000000000036,63339,63339
-0.030000000000000027,381192,381192
-0.020000000000000018,72391,72391
-0.010000000000000009,45813,45813
0.0,39780,117220350
0.010000000000000009,50613,50613
0.020000000000000018,60191,60191
0.030000000000000027,750168,750168
0.040000000000000036,81520,81520
0.050000000000000044,529821,529821
0.06000000000000005,59684,59684
0.07000000000000006,65586,65586
0.08000000000000007,1025891,1025891
0.09000000000000008,71575,71575
0.10000000000000009,648375,648375
0.1100000000000001,135596,135596
0.1200000000000001,93280,93280
0.13000000000000012,769766,769766
0.14000000000000012,91526,91526
0.15000000000000013,765917,765917
0.15999999999999992,52271,52271
0.16999999999999993,145995,145995
0.17999999999999994,1050689,1050689
0.18999999999999995,188589,188589
0.19999999999999996,2035055,2035055
0.20999999999999996,133278,133278
0.21999999999999997,289375,289375
0.22999999999999998,1426130,1426130
0.24,136094,136094
0.25,825286,825286
0.26,164077,164077
0.27,1465906,1465906
0.28,116910,116910
0.29000000000000004,300117,300117
0.30000000000000004,1848636,1848636
0.31000000000000005,153571,153571
0.32000000000000006,1966860,1966860
0.33000000000000007,170761,170761
0.3400000000000001,2181124,2181124
0.3500000000000001,121329,121329
0.3600000000000001,3703885,3703885
0.3700000000000001,280435,280435
0.3800000000000001,1973134,1973134
0.3900000000000001,164264,164264
0.40000000000000013,2558120,2558120
0.4099999999999999,136759,136759
0.41999999999999993,2215019,2215019
0.42999999999999994,218431,218431
0.43999999999999995,4303839,4303839
0.44999999999999996,270958,270958
0.45999999999999996,2360804,2360804
0.47,244266,244266
0.48,1152598,1152598
0.49,2237332,2237332
0.5,286142,286142
0.51,2460929,2460929
0.52,313200,313200
0.53,948682,948682
0.54,986014,986014
0.55,282858,282858
0.56,1761478,1761478
0.5700000000000001,1188100,1188100
0.5800000000000001,500961,500961
0.5900000000000001,1648655,1648655
0.6000000000000001,965362,965362
0.6100000000000001,976173,976173
0.6200000000000001,1656159,1656159
0.6300000000000001,217176,217176
0.6400000000000001,2028035,2028035
0.6500000000000001,814244,814244
0.6600000000000001,865660,865660
0.6699999999999999,1125379,1125379
0.6799999999999999,814037,814037
0.69,864340,864340
0.7,951655,951655
0.71,770669,770669
0.72,956886,956886
0.73,946959,946959
0.74,998948,998948
0.75,665975,665975
0.76,1129898,1129898
0.77,627372,627372
0.78,1135605,1135605
0.79,728089,728089
0.8,895729,895729
0.81,1889156,1889156
0.8200000000000001,774714,774714
0.8300000000000001,1142101,1142101
0.8400000000000001,976286,976286
0.8500000000000001,689479,689479
0.8600000000000001,952089,952089
0.8700000000000001,805631,805631
0.8800000000000001,839450,839450
0.8900000000000001,832309,832309
0.9000000000000001,939704,939704
0.9100000000000001,718874,718874
0.9199999999999999,700307,700307
0.9299999999999999,786905,786905
0.94,602821,602821
0.95,611151,611151
0.96,817425,817425
0.97,504904,504904
0.98,189918,189918
0.99,85279,85279
1.0,17475,17475
