,btc,#BTC,ethereum,eth,bitcoin
2012-01-01,3891,29,,191,187
2012-01-02,4126,23,,288,277
2012-01-03,4653,23,,309,249
2012-01-04,4701,61,,302,270
2012-01-05,4970,69,,348,239
2012-01-06,4695,36,,333,300
2012-01-07,4455,30,,296,285
2012-01-08,4019,41,,244,235
2012-01-09,3439,32,,273,320
2012-01-10,3612,27,,261,478
2012-01-11,3156,47,,282,622
2012-01-12,3067,43,,318,533
2012-01-13,3109,64,,338,582
2012-01-14,3361,74,,287,556
2012-01-15,3354,86,,285,634
2012-01-16,3708,76,,278,1314
2012-01-17,3549,54,,315,952
2012-01-18,3524,42,,309,331
2012-01-19,4251,33,,330,302
2012-01-20,4344,35,,341,256
2012-01-21,4785,22,1,282,191
2012-01-22,4558,19,,248,257
2012-01-23,4448,25,,319,251
2012-01-24,5068,30,1,340,377
2012-01-25,4548,31,,330,424
2012-01-26,4467,23,,310,342
2012-01-27,4714,24,,393,380
2012-01-28,4606,27,,282,300
2012-01-29,4766,41,,277,322
2012-01-30,4498,28,,306,400
2012-01-31,3820,22,,315,367
2012-02-01,3302,42,,323,497
2012-02-02,3308,19,,341,402
2012-02-03,3184,43,,281,405
2012-02-04,3095,34,1,292,298
2012-02-05,3180,25,,334,327
2012-02-06,3317,28,1,250,304
2012-02-07,3302,25,,352,459
2012-02-08,3251,18,1,386,362
2012-02-09,3292,29,,386,323
2012-02-10,3396,28,,387,290
2012-02-11,3631,38,,374,255
2012-02-12,3914,23,,356,276
2012-02-13,3393,22,1,317,370
2012-02-14,2992,60,,357,677
2012-02-15,3216,32,,480,647
2012-02-16,3333,34,,442,422
2012-02-17,4295,20,,417,362
2012-02-18,4143,18,,341,356
2012-02-19,4180,41,,356,283
2012-02-20,4772,24,,360,383
2012-02-21,5509,25,,322,284
2012-02-22,5242,28,,407,356
2012-02-23,5048,28,,347,408
2012-02-24,5701,20,,387,255
2012-02-25,4670,20,,283,237
2012-02-26,4465,23,,260,272
2012-02-27,4340,25,,362,326
2012-02-28,4358,38,,371,296
2012-02-29,4203,23,1,423,364
2012-03-01,4476,42,,350,388
2012-03-02,4271,66,,405,666
2012-03-03,4722,23,,307,615
2012-03-04,4422,28,,397,279
2012-03-05,4667,33,,319,343
2012-03-06,4703,44,,316,416
2012-03-07,4914,57,,350,557
2012-03-08,4620,47,,391,420
2012-03-09,4422,72,,371,297
2012-03-10,4275,21,,332,259
2012-03-11,4232,20,,420,271
2012-03-12,4504,28,1,485,290
2012-03-13,4276,37,,453,327
2012-03-14,4068,32,1,375,262
2012-03-15,4280,20,,409,253
2012-03-16,4122,28,,367,257
2012-03-17,3931,26,,337,286
2012-03-18,3960,14,2,478,232
2012-03-19,4248,150,,353,734
2012-03-20,4416,369,,340,1140
2012-03-21,4355,331,,350,1105
2012-03-22,4436,345,,375,879
2012-03-23,4466,264,,355,657
2012-03-24,4342,216,,339,725
2012-03-25,4553,233,1,417,689
2012-03-26,4397,233,1,330,714
2012-03-27,4530,232,,342,661
2012-03-28,4934,256,,375,798
2012-03-29,5270,236,,325,621
2012-03-30,4872,239,,359,513
2012-03-31,4992,222,,361,488
2012-04-01,4579,220,,405,563
2012-04-02,4400,95,1,337,1451
2012-04-03,4696,21,,338,486
2012-04-04,4600,44,,352,700
2012-04-05,4901,215,,411,907
2012-04-06,4752,277,,370,555
2012-04-07,4443,236,,354,539
2012-04-08,4181,218,,379,560
2012-04-09,4546,225,,314,575
2012-04-10,4996,229,,416,500
2012-04-11,5475,238,4,393,568
2012-04-12,5472,108,,463,471
2012-04-13,4934,57,,538,382
2012-04-14,4316,39,2,342,286
2012-04-15,4810,51,,358,249
2012-04-16,4018,37,,379,356
2012-04-17,4360,43,,386,301
2012-04-18,4295,60,1,443,313
2012-04-19,4635,121,1,408,320
2012-04-20,4444,167,,361,525
2012-04-21,4277,171,1,335,567
2012-04-22,4377,169,,378,436
2012-04-23,4353,156,,467,503
2012-04-24,4817,135,1,398,570
